1318,00000 0,01703
1319,00000 0,01700
1320,00000 0,01700
1321,00000 0,01697
1322,00000 0,01694
1323,00000 0,01691
1324,00000 0,01691
1325,00000 0,01688
1326,00000 0,01685
1327,00000 0,01683
1328,00000 0,01683
1329,00000 0,01680
1330,00000 0,01677
1331,00000 0,01675
1332,00000 0,01675
1333,00000 0,01672
1334,00000 0,01668
1335,00000 0,01662
1336,00000 0,01662
1337,00000 0,01659
1338,00000 0,01656
1339,00000 0,01653
1340,00000 0,01653
1341,00000 0,01650
1342,00000 0,01647
1343,00000 0,01645
1344,00000 0,01645
1345,00000 0,01642
1346,00000 0,01640
1347,00000 0,01639
1348,00000 0,01639
1349,00000 0,01638
1350,00000 0,01637
1351,00000 0,01637
1352,00000 0,01637
1353,00000 0,01638
1354,00000 0,01640
1355,00000 0,01641
1356,00000 0,01641
1357,00000 0,01642
1358,00000 0,01643
1359,00000 0,01644
1360,00000 0,01644
1361,00000 0,01644
1362,00000 0,01644
